Continent,Country,Location Chinese,Location in English,Current Location,Latitude,Longitude,Business Name Chinese,Business Name English,Sector,Sub-Category
North America,Canada,英屬加拿大哥林比亞省 亞利血埠,"Arrowhead, BC",,50.71097,-117.92306,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 亞利血埠,"Arrowhead, BC",,50.71097,-117.92306,廣盛源油糖雜貨,"QUONG SING YUEN & CO., Gen. Mdse.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 亞利血埠,"Arrowhead, BC",,50.71097,-117.92306,英隆雜貨,"Ying Lung & Co., Groceries..",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,協源雜貨,"Hip Yuen & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,同安昌雜貨,"Hong On Chong & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,恒利雜貨,"Hung Lee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,周廷記油糖集貨,"J.J.TING CO., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,聯記雜貨,"Lin Kee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,泰順雜貨,"Tai Song & Co., General Merchandise..",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,參昌隆雜貨,"Thom Chong Lung & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 鴉形給笠埠,"Ashcroft, BC",,50.72372,-121.28207,有利雜貨,"Yow Lee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 百架委利埠,"Barkerville, BC",,53.06661,-121.51948,致公堂公堂,"Chee Kung Tong, Society.",Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 百架委利埠,"Barkerville, BC",,53.06661,-121.51948,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 百架委利埠,"Barkerville, BC",,53.06661,-121.51948,廣生榮雜貨,"Kwong Sang Wing & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 百架委利埠,"Barkerville, BC",,53.06661,-121.51948,廣利榮雜貨,"Quong Lee Wing Kee, General Merchandise..",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 百架委利埠,"Barkerville, BC",,53.06661,-121.51948,勝記雜貨,"Sing Kee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 百架委利埠,"Barkerville, BC",,53.06661,-121.51948,泰利雜貨,"Tai Lee & Co., Groceries..",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 百架委利埠,"Barkerville, BC",,53.06661,-121.51948,和利什貨,"WAH LEE & CO., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 坎舒架利埠,"Cache Creek, BC",,50.81011,-121.3246,國民黨會所,Chaung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 坎舒架利埠,"Cache Creek, BC",,50.81011,-121.3246,廣生和雜貨,"Quong Sang Wo & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 坎舒架利埠,"Cache Creek, BC",,50.81011,-121.3246,同盛雜貨,"Tong Sing & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 始緬尼市埠,"Chemainus, BC",,48.91633,-123.71937,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 始緬尼市埠,"Chemainus, BC",,48.91633,-123.71937,同興雜貨,"Hong Hing & Co., Groceries..",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 始緬尼市埠,"Chemainus, BC",,48.91633,-123.71937,萬合雜貨,"Hop Yuen & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 始緬尼市埠,"Chemainus, BC",,48.91633,-123.71937,同源雜貨,"Man Hop & Co., Groceries..",Retail Trade,General Merchandise
